GRB	Time [UT]	Trigger Number	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	XRT 90% Error Radius [arcsec]	XRT Time to First Observation [sec]	XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]	XRT Initial Temporal Index	XRT Spectral Index (Gamma)	XRT Column Density (NH) [10^21 cm^-2]	UVOT RA (J2000)	UVOT Dec (J2000)	UVOT 90% Error Radius [arcsec]	UVOT Time to First Observation [sec]	UVOT Magnitude	UVOT Other Filter Magnitudes	Other Observatory Detections	Redshift	Host Galaxy	Comments	References	Burst Advocate
140114A	11:57:40	583861	188.498	27.942	1.9	139.7	32	1	0.9	0.1	2.06, PL	0.09	12:34:05.16	27:57:02.6	1.4	577.5	10	0.06852023	0.02715507	-3.719	2.35235	1.35496	n/a	n/a	n/a	120	V>18.8	B>19.6|U>20.2|UVW1>19.3|UVM2>18.6|UVW2>18.6|White>21.2	HJT (1.5m), NOT (2.5m)	3.0 (arXiv:1503.05323v1)				Nora Troja
131227A	04:44:51	582184	67.369	28.879	1.3	18.0	8.4	0.6	1.1	0.2	1.36, PL	0.12	04:29:30.78	28:52:58.9	1.4	57	60.1	0.024683603	0.008876693	-0.9131	1.92381	4.97208	n/a	n/a	n/a	66	V>19.7	B>21.1|U>20.9|UVW>20.1|UVW2>20.5|White>21.9	KAIT (0.76m), Xinglong (2.16m)	~5.3 (Gemini-North)		UVOT: no detection		Sam Oates
131117A	00:34:04	577968	332.354	-31.761	1.8	11.00	2.5	0.4	0.7	0.1	-0.40, CPL	1.41	22:09:19.45	-31:45:44.8	1.5	66.11	n/a	0.021481284	0.010059885	-0.9724	2.15896	10.3919	22:09:19.36	-31:45:44.3	0.64	70	V>20.0	B>20.6|U>20.7|UVW1>20.4|UVM2>20.0|UVW2>20.5|White=20.13	PROMPT (14"), MPG (2.2m), VLT, TAROT (50cm)	4.18 (MPG: photometric)|4.042 (VLT: absorption)				Mat Page
131105A	02:04:44	576738	70.973	-63.005	1.5	112.3	71	5	3.5	0.6	1.45, PL	0.11	04:43:52.18	-62:59:42.7	1.4	290.93	n/a	0.1119492	0.04543945	-8	2.24976	2.12567	n/a	n/a	n/a	294	V>19.34	B>19.9|U>19.8|UVW1>19.4|UVM2>18.4|UVW2>19.5|White>22.0	VLT, Konus-Wind, Fermi (GBM)	1.686 (VLT: emission & absorption)				Jay Cummings
131103A	22:07:25	576562	348.948	-44.645	1.8	17.3	8.2	1.0	1.5	0.3	1.97, PL	0.19	23:15:40.46	-44:38:25.6	1.4	76.26	131	0.07515963	0.031224648	1.5	2.1927	3.58073	23:15:40.55	-44:38:25.4	0.60	87	V>20.0	B=21.64|U=18.93|UVW1>20.6|UVW2>19.8|White=19.41	VLT	0.599 (VLT: emission & absorption)	R=20.07 (NOT)|R=20.48, J=19.63 (VLT)			Jay Cummings
131030A	20:56:18	576238	345.074	-5.380	1.0	41.1	290	0	28.1	0.7	1.30, PL	0.03	23:00:16.20	-05:22:06.5	1.4	78.36	5430	0.475692	0.1693902	-2.96	2.09466	0.694683	23:00:16.14	-05:22:05.2	0.50	90	V=15.98	B=16.30| UVW1=16.42|UVM2=16.63|UVW2=17.97|White=16.13	Watcher, MASTER II, Liverpool (2m), NOT, GTC (10.4m), D50 (0.5m), BART (0.25m), CAHA (1.23m), Zeiss-1000 (1m), Konus-Wind, iTelescope (T21), TAROT (25cm), HJT (1.5m), Palomar (60"), Xinglong (0.8m), Bassano Bresciano Observatory (32mm), Skinakas Observatory (1.3m), Mt. Lemmon, MITSuME (50cm), DFOT (1.3m)	1.293 (NOT: absorption)|1.295 (GTC: absorption)				Nora Troja
131004A	21:41:03	573190	296.108	-2.952	1.1	1.54	2.8	0.2	3.4	0.2	1.81, PL	0.11	19:44:27.16	-02:57:31.0	1.5	69.97	n/a	0.01474704	0.006689178	-1.013	2.21436	2.62515	19:44:27.09	-02:57:30.4	0.55	75	V>20.24	U=20.72|B>21.0|UVW1>20.9|UVM2>20.8|UVW2>21.0|White=20.18	NOT, TNG (3.6m), Liverpool (2m), Magellan (6.5m), MPG (2.2m), TNG (4m), Fermi (GBM)	0.717 (Magellan: emission)|0.71 (TNG: emission)				Lea Hagen
130925A	04:11:24	571830	41.186	-26.146	1.0	n/a	410	10	7.3	0.6	1.85, CPL	0.14	02:44:42.97	-26:09:11.5	1.4	147.39	5860	1.9280701	0.9726881	-3.243	2.69002	9.80725	n/a	n/a	n/a	157	V>20.07	V>20.6|U>20.4|UVW1>21.1|UVM2>21.2|UVW2>20.7|white>22.0	MPG/ESO (2.2m), MAXI/GSC, VLT/UVES, VLT/X-shooter, Fermi (GBM), HJT (1.5m), INTEGRAL, Konus-Wind, NuSTAR	0.347 (VLT/UVES: emission)|0.35 (VLT/X-shooter: emission)	White=22.9 (UVOT)	XRT: The light curve behaviour is dominated by sharp, bright flares. Please see GCN 15254 for more detailed information.|UVOT: no detection		Amy Lien
130907A	21:41:13	569992	215.898	45.602	1.0	>360	1400	10	25.6	0.5	1.17, PL	0.02	14:23:34.13	45:36:26.1	1.4	66.59	6330	2.6719719	0.5314296	-0.5477	1.99054	1.79173	14:23:34.04	45:36:27.1	0.50	74	V=16.29	B=16.78|U=15.87|UVW1=18.54|UVM2>19.2|UVW2>18.7|White=15.45	MASTER II, NOT, Skynet (14"), HJT (1.5m), Tautenburg (1.34m), Fermi (LAT), VLA @ 24.5 GHz, iTelescope (T21, 0.43m), Konus-Wind, INTEGRAL, WSRT @ 4.9 GHz, AMI @ 15 GHz, AZT-22	1.238 (NOT: absorption)				Mat Page
130831A	13:04:16	568849	358.635	29.431	1.0	32.5	65	0.2	13.6	0.6	1.93, PL	0.05	23:54:29.92	29:25:47.3	1.4	125.80	88.7	0.23422308	0.10099206	-3.677	1.79449	0.0703922	23:54:29.89	29:25:46.2	0.74	191	V=14.4	B=14.9|U=13.9|UVW1=13.9|UVM2=13.6|UVW2=14.8	Faulkes North (2m), Faulkes South (2m), Weihai (1m), MITSuME (50cm), Gemini-North, Konus-Wind, Xinglong (60cm), Skynet/PROMPT (17"), Montarrenti Observatory (0.53m), Virtual Telescope (0.43m), iTelescope (0.32m), Taurus Hill Observatory (0.35m), TUBITAK T100 (1.0m), HJT (1.5m), SANTEL-650 (0.65m), VT-50 (0.5m), AZT-8 (0.7m), SANTEL-400AN, AZT-22, RTT150, MASTER II	0.4791 (Gemini-North: absorption)				Lea Hagen
130701A	04:17:43	559482	357.224	36.100	1.0	4.38	44	1	17.1	0.7	0.90, CPL	0.21	23:48:55.08	36:06:01.5	1.5	85.47	136	0.09600966	0.034662612	-1.798	1.9213	0.510222	n/a	n/a	n/a	151	V=19.04	U-FC=15.52|B=19.66|UVW2=20.07	NOT, VLT, Konus-Wind, Palomar (60")	1.155 (VLT: absorption)				Paul Kuin
130612A	03:22:22	557976	259.771	16.729	2.0	4.0	2.3	0.5	1.7	0.3	-0.14, CPL	1.71	17:19:10.63	16:43:11.3	1.5	86.97	92.2	0.010768527	0.004891128	-1.012	2.18734	7.85251	17:19:10.58	16:43:11.9	0.53	94	V>20.6	B>21.3|U=19.68|UVW1>21.6|UVM2>21.6|UVW2>21.1|White=18.97	Liverpool (2m), PAIRITEL (1.3m), PROMPT (16"), NOT (2.5m), Palomar (60"), HJT (1.5m), Sierra Nevada (1.5m), VLT, TAROT (25cm), ISON-NM (0.45m), iTelescope T21 (0.43m), Fermi (GBM)	2.006 (VLT: absorption)				Judy Racusin
130610A	03:12:13	557845	224.414	28.187	2.4	46.4	25	1	1.7	0.2	1.27, PL	0.08	14:57:40.88	28:12:25.6	1.4	132.97	43.7	0.026318754	0.010466968	-1.182	2.04497	2.63573	14:57:40.88	28:12:25.8	0.51	140	V>20.07	B+19.12|U=17.67|UVW1>19.05|UVM2>21.09|UVW2>20.63|White=19.56	Liverpool (2m), PROMPT (16"), PAIRITEL (1.3m), Palomar (60"), VLT, Mt. Lemmon (1m), Fermi (GBM), ISON-NM (0.45m), iTelescope T21 (0.43m), CrAO, TAROT (25cm)	2.092 (VLT: absorption)				Jay Cummings
130606A	21:04:39	557589	249.390	29.796	2.0	276.58	29	2	2.6	0.2	1.52, PL	0.12	16:37:35.13	29:47:46.8	1.4	72.43	164	0.07761601		-0.6415	1.86465	0.177676	n/a	n/a	n/a	80	V>20.6	B>20.7|U>20.4|UVW1>21.1|UVM2>20.5|UVW2>20.1|White>22.1	TELMA (0.6m), CAHA (1.23m), NOT (2.5m), Sutherland Observatory (1.4m), Liverpool (2m), Virtual Telescope (0.43m), GTC (10.4m), Montarrenti Observator (0.53m), TUBITAK (1.0m), MMT (6.5m), HJT (1.5m), Mt. Lemmon (1m), PAIRITEL (1.3m), Palomar (60"), Abastumani Observatory (0.7m), MPG/ESO (2.2m), Konus-Wind, Abastumani Observatory (0.7m), PROMPT (16"), VLT, EVLA @ 21.8 GHz, TAROT (25cm), Liverpool (2m), Chandra	5.91 (GTC: absorption)|5.913 (MMT: absorption)|5.913 (VLT: absorption)		UVOT: no detection		Tilan Ukwatta
130604A	06:54:26	557354	250.166	68.225	1.1	37.7	14	1	0.8	0.2	1.51, PL	0.12	16:40:44.89	68:13:34.9	1.6	99.27	176	0.001072626	0.00022190936	-2.02	2.08823	2.23996	n/a	n/a	n/a	109	V>20.3	B>21.5|U>20.0|UVW1>20.0|UVM2>19.7|UVW2>21.3|White>21.8	Palomar (60"), ISON-NM (0.45m), Gemini-North	1.06 (Gemini-North: emission)		UVOT: no detection		Andrea Melandri
130603B	15:49:14	557310	172.222	17.063	1.0	0.18	6.3	0.3	6.4	0.3	0.82, PL	0.07	11:28:48.15	17:04:16.9	1.4	59.05	n/a	0.0398682	0.011380392	-0.3536	2.20112	2.25766	n/a	n/a	n/a	62	V>19.8	B=21.14|U=20.87|UVW1>20.6|UVM2>20.4|UVW2=20.6|White=20.81	WHT, NOT (2.5m), GTC, Magellan (6.5m), Tubitak National Observatory (1.0m), Observatorio de Sierra Nevada (1.5m), Gemini-South, VLA @ 5.8 GHz, VLT, Palomar (60"), HJT (1.5m), Konus-Wind, HST, XMM-Newton	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)	r=20.94 (WHT)			Andrea Melandri
130518A	13:55:07.4	556113	355.671	47.478	2.9	n/a	n/a	n/a	n/a	n/a	n/a	n/a	23:42:40.23	47:27:53.5	2.1	n/a	n/a	0.154358768	0.086187698	-0.747	1.96017	2.58508	n/a	n/a	n/a	30500	n/a	U=19.0	Fermi (GBM & LAT), Konus-Wind, HJT (1.5m), Palomar (60"), GTC (10.4m), Gemini-North, PdBI @ 86.7 GHz, Suzaku	2.49 (GTC: absorption)|2.488 (Gemini-North: absorption)		Burst first reported by Fermi: GCN 14674		Michael Siegel
130514A	07:13:41	555821	296.278	-7.974	1.0	204	91	2	2.8	0.3	1.80, PL	0.05	19:45:07.92	-07:58:34.0	1.5	88.83	583	0.07779492	0.029464704	-2.024	2.0604	1.577583	n/a	n/a	n/a	97	V>18.7	B>19.1|U>20.5|UVW1>19.1|UVW2>19.5|White>21.5	MPG/ESO (2.2m), PROMPT (16")	3.6 (MPG/ESO: photometric)		UVOT: no detection		Eda Sonbas
130511A	11:30:47	555600	196.654	18.709	2.3	5.43	2.2	0.4	1.3	0.2	1.35, PL	0.31	13:06:34.90	18:42:35.3	1.4	71.58	n/a	0.007197588	0.0019920924	-0.8409	2.06879	1.03194	13:06:34.96	18:42:36.0	0.64	74	n/a	White=19.18	Gemini-North, Higashi-Hiroshima Observatory (1.5m), SOAO (0.6m),  ANU (2.3m)	1.3033 (Gemini-North: absorption)				Hans Krimm
130505A	08:22:28	555163	137.060	17.485	1.5	88	210	10	30.0	3.1	1.18, PL	0.07	09:08:14.60	17:29:04.3	1.4	96.37	735	2.1814356	0.5711476	0.6425	1.92439	0.524335	09:08:14.64	17:29:05.2	0.5	107	V=17.50	B=17.71|U=14.66|UVW1=19.28|UVM2>19.6|UVW2>19.9|White=17.96	MAXI, Gemini-North, MITSuME (50cm), Weihai (1m), TNT (80cm), iTelescope (T12), Konus-Wind, Kharkiv National University (0.7m), Tautenburg (1.43m), HJT (1.5m), Suzaku, MITSuME (50cm)	2.27 (Gemini-North: absorption)				John Cannizzo
130427B	13:20:41	554635	314.900	-22.548	1.4	27.0	15	1	3.0	0.4	1.64, PL	0.15	20:59:35.63	-22:32:47.9	1.4	77.37	115	0.019117137	0.0037106979	-1.712	1.8144	0.44452598	20:59:35.64	-22:32:46.5	1.10	87	n/a	White=17.19	Faulkes North (2m), VLT	2.78 (VLT: tentative)				Alessandro Maselli
130427A	07:47:57	554620	173.150	27.706	1.0	162.83	3100	30	331.0	4.6	1.21, PL	0.02	11:32:32.63	27:41:51.7	3.5	140.19	43800	9.83052	3.329276	-2.787	1.78644	0.977721	n/a	n/a	n/a	147	V=12.1	B=12.6|U=11.8|UVW1=11.2|UVM2=11.2|UVW2=11.2|White=13.8	ISON-NM (0.45m), Palomar 60", Faulkes North (2m), PAIRITEL (1.3m), MITSuME (50cm), Gemini-North, iTelescope (T11, T21, T30), Weihai (1m), HJT (1.5m), MAXI/GSC, GMG (2.4m), Zadko (100cm), Fermi (LAT, GBM), AZT-11, T100 (1.0m), RAPTOR, NOT (2.5m), VLA @ 5.8 GHz, SNUO (0.6m), SOAO (0.6m), BOAO, CARMA @ 85 GHz, INTEGRAL, Kanata (1.5m), Konus-Wind, ARIES Nainital (1.04m), Stansbury Park (0.35m), VLT, TNT (80cm), CARMA @ 93 GHz, Nayuta (2m), PROMPT (16"), CrAO RT-22 @ 36 GHz, SARA (0.9m),  Challis Observatory (0.4m), Murikabushi (1m), AGILE, GMRT @ 1390 GHz, ABT (10"), VLA @ 20-22 GHz, KAIT (0.76m), Murikabushi (1m), Pan-STARRS 1 (1.8 m), RHESSI, Tautenburg (1.43m), Sandvreten Observatory (0.45m), NOT, Watcher (40cm), LBT, Keck, William Herschel (4.2m), AZT-33IK, GTC (10.4m), HST, BTA (6m), Konkoly Observatory	0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)	Irregular galaxy, with a broadly elliptical shape (William Herschel).	This is an extremely bright burst in all three instruments.		Alessandro Maselli
130420A	07:28:29	553977	196.118	59.421	1.0	123.5	71	3	3.4	0.2	1.52, CPL	0.25	13:04:25.49	59:25:26.3	1.4	735.33	n/a	0.12857126	0.05403455	-0.7519	2.29559	0.620381	13:04:25.55	59:25:27.1	0.50	739	V=17.66	B=18.13|U=17.19|UVW1=17.51|UVM2=18.30|UVW2=18.50|White=17.14	Faulkes North (2m), ROTSE-III, PAIRITEL (1.3m), HJT (1.5m), iTelescope (T21), Weihai (1m), GMG (2.4m), GORT (14"), ISON-NM (0.45m), Fermi (GBM), RAPTOR, GTC (10.4m)	1.297 (GTC: absorption)				Mat Page
130418A	19:00:53	553847	149.045	13.674	1.9	>300	18	2	0.6	0.2	2.07, PL	0.17	09:56:08.85	13:40:02.0	1.8	129.70	155	0.09930438	0.03376863	-0.7393	1.68684	1.32281	09:56:08.88	13:40:02.7	0.50	138	V=17.69	U=14.71|B=17.41|UVW1=17.25|UVM2=17.61|UVW2=18.08|White=14.85	CAHA  (1.23m), Bassano Bresciano Observatory, GTC (10.4m), TNG, TAROT (25cm), OSN (1.5m), MPG/ESO (2.2m), CARMA @ 93 GHz, HJT (1.5m), REM, VLT, Mt. Lemmon (1m), iTelescope (T18, T21), CTIO (1.3m), HJT (1.5m), Konus-Wind	1.218 (GTC)|1.217 (VLT: absorption)				Max De Pasquale
130408A	21:51:38	553132	134.398	-32.363	2.2	28	23	4	4.9	1.0	1.28, PL	0.26	08:57:37.30	-32:21:39.5	1.4	149.89	n/a	0.0561526	0.015529384	-0.4662	2.03183	0.115893	08:57:37.30	-32:21:38.9	0.5	155	V=15.75	B>20.84|U>20.55|UVW1>19.82|UVM2>19.75|UVW2>21.56|White=16.80	Liverpool (2m), MPG/ESO  (2.2m), VLT, Gemini-South, Konus-Wind, CTIO (1.3m), Skynet, Suzaku	3.758 (VLT: absorption)|3.757 (Gemini-South)				Amy Lien
130215A	01:31:30	548760	43.486	13.387	1.5	65.7	54	5	2.5	0.7	1.59, PL	0.14	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	ROTSE-IIIb, Skynet, Lick Shane (3m), Palomar (60"), CARMA @ 93 GHz, REM, Harold Johnson Telescope (1.5m), TAROT, Xinglong (2.16m), iTelescope T11, GMG (2.4m), RAPTOR, Fermi (GBM), MITSuME (50cm), MPG/ESO (2.2m), Palomar (200"), Palomar (48"), Suzaku, GTC (10.4)	0.597 (Lick Shane: absorption)|0.58 (GTC: derived)		Due to a Moon observing constraint, Swift could not slew to the BAT position, thus there are no XRT or UVOT data for this trigger.		Valerio D'Elia
130131B	19:10:08	547420	173.957	15.033	1.7	4.30	3.4	0.4	1.0	0.2	1.15, PL	0.20	11:35:49.36	15:02:17.5	1.6	109.46	n/a	0.018749445	0.008016333	-1.089	2.22317	3.89587	n/a	n/a	n/a	113	V>19.8	B>20.5|U>21.0|UVW1>20.4|UVM2>20.6|UVW2>21.1|White>22.0		2.539 (Keck I: emission, host)	g = 25.7, I = 24.9 (Keck I)	UVOT: no detection		Mike Siegel
121229A	05:00:21	544347	190.095	-50.588	2.8	n/a	4.6	1.3	0.1	0.0	2.43, PL	0.46	12:40:24.31	-50:35:38.6	1.7	145.90	121	0.0004456618	0.00008566844	-5.382	2.18362	0.00000000000000345225	n/a	n/a	n/a	155	V>198.9	B>20.5|U>20.1|UVW1>20.0|UVM2>17.6|UVW2>20.1|White>21.2	MPG/ESO (2.2m), MAXI/GSC, VLT	2.707 (VLT: absorption)		UVOT: no detection		Eda Sonbas
121211A	13:47:02	541200	195.575	30.173	4.9	182	13	2.67	1.0	0.3	2.36, PL	0.26	13:02:07.99	30:08:54.9	1.4	89.52	664	0.13629805	0.0478345	-0.4783	2.0682	4.58545	13:02:07.99	30:08:54.6	0.52	97	V>19.9	B=20.4|U=19.6|UVW1=20.6|UVM2=20.6|UVW2>21.1|White=19.9	Faulkes North (2m), Keck I, MITSuME (50cm), Harold Johnson Telescope (1.5m), Fermi (GBM)	1.023 (Keck I)				Vanessa Mangano
121201A	12:25:42	540178	13.473	-42.929	2.3	85	7.8	1.0	0.8	0.1	1.90, PL	0.21	00:53:52.25	-42:56:34.8	1.4	115.07	n/a	0.014522466	0.005512626	-1.242	1.62244	0.95837	00:53:52.16	-42:56:34.5	0.62	120	V>19.6	B=19.4|U=20.6|UVW1>21.3|UVM2>21.1|UVW2>20.8|White=19.9	MPI/ESO (2.2m), VLT	3.385 (VLT: emission  & absorption)				Vladimir Yershov
121128A	05:05:37	539866	300.589	54.301	1.0	23.3	69	4	12.9	0.4	1.32, PL	0.18	20:02:24.00	54:17:58.7	1.4	77.17	158	0.0471828	0.013250134	-2.37	1.98504	10.9723	20:02:24.00	54:17:59.1	0.50	85	V=17.00	B=17.51|U=17.33|UVW1>19.6|UVM2>19.6|UVW2>20.0|White=16.19	Faulkes North (2m), Gemini North, Konus-Wind, Fermi (GBM), RAPTOR, Sayan (AZT-33IK), MITSuME (50cm), ARIES Nainital (1.04m), Abastumani Observatory (0.7m)	2.20 (Gemini North: absorption)				Sam Oates
121027A	07:32:29	536831	63.598	-58.839	1.0	62.6	20	1	1.3	0.2	1.82, PL	0.09	04:14:23.47	-58:49:46.8	1.4	67.38	610	0.24509127	0.18853735	-2.334	2.37144	11.9499	n/a	n/a	n/a	77	V>19.5	B>19.7|U>20.6|UVW1>19.8|White=21.55	MAXI/GSC, Anglo-Australian Telescope, MPG/ESO (2.2m), CTIO (1.3m), Gemini-South, VLT	1.773 (arXiv:1302.2352v1)|1.77 (Gemini-South: absorption)|1.773 (VLT: emission and absorption)		UVOT: Possible Detection		Phil Evans
121024A	02:56:12	536580	70.481	-12.255	1.7	69	11	1	1.3	0.2	1.41, PL	0.22	04:41:53.30	-12:17:25.9	1.4	93.00	110	0.07719156	0.025306632	-2.114	2.00683	8.83441	04:41:53.28	-12:17:26.8	0.78	158	V>18.1	B=18.44|U_fc=18.43|U>18.5|UVW1>18.1|UVM2>17.6|UVW2>18.1	TAROT (25cm), BOOTES-1B (0.3m), PROMPT, Dolomites Astronomical Observatory (16"), VLT, MPG/ESO (2.2m), PAIRITEL (1.3m), GMG (2.4m), CARMA @ ~85 GHz, EVLA @ 22 GHz, ARIES Nainital (1,04m)	2.298 (VLT: absorption)				Claudio Pagani
120922A	22:30:28	534394	234.758	-20.181	1.2	173	62	7	2.0	0.2	1.58, CPL	0.36	15:38:59.65	-20:10:55.5	1.4	116.42	2530	0.11777535	0.05077345	1.054	2.06954	1.038387	15:38:59.60	-20:10:54.3	0.65	127	V=17.94	B=19.62|U>18.82|UVW1>20.95|UVM2>20.96|UVW2>21.20|White=19.34	MPG/ESO (2.2m), TAROT (25cm), Fermi (GBM)	3.1 (MPG/ESO :photometric)				Vladimir Yershov
120909A	01:42:03	533060	275.735	-59.432	1.2	n/a	68	2	1.8	0.3	1.39, PL	0.06	18:22:56.77	-59:26:55.0	1.4	93.42	755	0.2152997	0.0619185	-1.209	2.06709	20.6609	n/a	n/a	n/a	3308	V>20.2	B>21.5|U>21.4|UVW1>21.6|UVM2>21.4|UVW2>21.6|White=20.75	PROMPT, MPG/ESO (2.2m), VLT, Konus-Wind, Fermi (GBM), TAROT (25cm)	3.93 (VLT: absorption)		Because of an earth limb constraint, Swift slewed away before UVOT could take its initial exposures.		Stefan Immler
120907A	00:24:23	532871	74.736	-9.323	2.0	16.9	6.7	1.1	2.9	0.4	1.73, PL	0.25	04:59:00.00	-09:18:53.6	1.4	82.02	n/a	0.08789781	0.038013885	-0.4457	1.82021	1.10614	04:59:00.00	-09:18:54.0	0.52	142	V>19.5	B=19.02|U=17.67|UVW1=18.27|UVM2=18.68|UVW2=18.57	MASTER II, NOT, Fermi (GBM), OSIRIS/GTC, Santel-400AN (0.4m)	0.970 (OSIRIS/GTC: absorption)				Judy Racusin
120815A	02:13:58	531003	273.976	-52.125	1.8	9.7	4.9	0.7	2.2	0.3	2.29, PL	0.23	18:15:49.92	-52:07:53.1	1.4	2686.79	n/a	0.1638908	0.0798164	-0.9222	1.84293	5.92144	18:15:49.88	-52:07:52.1	0.6	2672	V=19.34	B=20.11|U>20.5|UVW1>20.2|UVM2>19.9|UVW2>20.3|White=19.94	MPG/ESO (2.2m), VLT/X-shooter	2.358 (VLT/X-shooter: absorption)		Due to an observing constraint, Swift did not slew until T0+40.6 minutes.		Claudio Pagani
120811C	15:34:52	530689	199.690	62.297	1.0	26.8	30	3	4.1	0.2	1.40, CPL	0.30	13:18:43.94	62:18:02.1	1.4	68.67	297	0.11858981	0.04829129	-4.617	1.92121	8.26457	13:18:43.82	62:18:02.8	0.52	76	V+18.49	B=18.95|U=18.61|UVW1>20.0|UVM2>20.5|UVW2>19.7|White=18.59	MASTER II (Amur), RTT150, GTC (10.4m), NOT (2.5m), MASTER II (Tunka), Fermi (GBM), ISON-NM (0.45m), ISON-Kitab (0.4m)	2.671 (GTC: absorption)|2.67 {NOT: absorption)				Brad Barlow
120805A	21:28:09	530031	216.536	5.853	2.2	48.00	8.2	1.4	0.37	0.2	1.20, PL	0.28	14:26:09.21	05:49:30.9	2.7	123.11	n/a	0.046430385	0.037847247	0.8949	1.62881	0.2220346069	n/a	n/a	n/a	127	V>20.8	B>21.5|U>20.5|UVW1>21.3|UVM2>21.6|UVW2>21.6|White>22.0	Calar Alto (1.23m), NOT, Liverpool	3.1 (arXiv:1503.05323v1)		UVOT: no detection		Eleonora Troja
120802A	08:00:51	529486	44.833	13.762	1.1	50	19	3	3.0	0.2	1.21, CPL	0.47	02:59:22.22	13:46:06.0	1.4	84.78	n/a	0.17777088	0.13471596	-2.79	2.03526	13.2214	n/a	n/a	n/a	70	V>20.5	B>20.4|U>20.5|UVW1>20.4|UVM2>21.2|UVW2>21.4|White>22.1	Gemini-North, ISON-NM (0.45m)	3.796 (Gemini-North: absorption)				Stephen Holland
120729A	10:56:14	529095	13.078	49.936	1.0	71.5	24	1	2.9	0.2	1.62, PL	0.08	00:52:17.89	49:56:22.6	1.4	68.12	175	0.007857444	0.0009412242	-1.12	1.8831	2.228028	00:52:17.83	49:56:23.1	0.50	77	V=15.92	B=16.56|U=15.78|UVW1=18.49|UVM2=18.91|UVW2=17.57|White=15.33	Faulkes North (2m), Gemini-North, UKIRT, RAPTOR, IAC80, Fermi (GBM), KAIT (0.76m)	0.80 (Gemini-North: absorption)				Tilan Ukwatta
120724A	06:39:02	528443	245.193	3.535	2.1	72.8	6.8	1.1	0.6	0.2	0.53, CPL	1.53	16:20:43.23	03:30:28.5	1.5	109.10	51.4	0.04020438	0.030380392	-2.825	1.86175	0.000000739566	16:20:43.35	03:30:27.8	0.77	99	V>19.2	B=20.01|U=20.50|UVW1>19.2|UVM2>18.4|UVW2>19.5|White=21.54	Faulkes North (2m), Gemini-North, AZT-22	1.48 (Gemini-North: absorption, tentative)	AZT-22: possible host			Paolo D'Avanzo
120722A	12:53:26	528195	230.489	13.249	3.4	42.4	12	2	1.0	0.3	1.90, PL	0.25	15:21:59.18	13:15:03.8	1.7	152.97	n/a	0.0203252	0.01037561	-0.8619	2.62119	52.5362	n/a	n/a	n/a	156	V>20.5	B>21.4|U>21.6|UVW1>21.3|UVM2>21.1|UVW2>20.2|White>21.7	MPG/ESO (2.2m), VLT	0.9586 (VLT: emission from host)		UVOT: no detection		Andrea Melandri
120714B	21:18:46.57	526642	355.412	-46.196	2.6	159	12	1	0.4	0.1	1.52, PL	0.17	n/a	n/a	n/a	120.07	159	0.0018156105	0.000412731	-1.899	1.94091	0.00172307	23:41:38.1	-46:11:02	0.58	129	n/a	B>20.5|White=18.40	VLT, MPG/ESO (2.2m)	0.3984 (VLT: absorption)				Curtis Saxton
120712A	13:42:27	526351	169.598	-20.051	1.0	14.7	18	1	2.4	0.2	1.36, PL	0.08	11:18:21.22	-20:02:02.3	1.4	90.86	n/a	0.02334	0.007476736	-0.9041	2.20811	9.62723	11:18:21.25	-20:02:01.7	0.50	95	V=16.79	B>21.8|U>22.1|UVW1>22.0|UVM2>22.1|UVW2>22.1|White=18.93	MPG/ESO (2.2m), Gemini-South, VLT, Fermi (GBM)	4.0 (MPG/ESO: photo-z)|4.15 (Gemini-South: absorption)| 4.1745 (VLT: absorption)				Mat Page
120521C	23:22:07	522656	214.288	42.144	1.0	26.7	11	1	1.9	0.2	1.73, PL	0.11	14:17:08.73	42:08:41.0	1.6	69.11	74.3	0.017671237	0.0028553455	-8	1.84163	4.75213	n/a	n/a	n/a	76	V>19.8	B>20.4|U>20.7|UVW1>20.4|UVM2>19.9|UVW2>20.4|White>21.7	EVLA @ 21.8 GHz, WHT, Gemini-North, Keck	~6.0 (Gemini-North: redshift estimate)		UVOT: no detection		Wayne Baumgartner
